Time (ms),Coordinates
155000,231
155050,222
155100,211
155150,207
155200,207
155250,209
155300,219
155350,225
155400,243
155450,252
155500,279
155550,305
155600,321
155650,351
155700,365
155750,393
155800,413
155850,423
155900,445
155950,452
156000,459
156050,461
156100,459
156150,449
156200,445
156250,431
156300,421
156350,395
156400,381
156450,351
156500,337
156550,307
156600,290
156650,258
156700,241
156750,223
156800,215
156850,205
156900,203
156950,205
157000,213
157050,220
157100,229
157150,247
157200,273
157250,287
157300,315
157350,331
157400,361
157450,375
157500,401
157550,419
157600,429
157650,441
157700,455
157750,457
157800,457
157850,456
157900,444
157950,443
158000,425
158050,413
158100,387
158150,357
158200,341
158250,313
158300,297
158350,271
158400,254
158450,239
158500,223
158550,217
158600,211
158650,209
158700,213
158750,224
158800,231
158850,248
158900,261
158950,285
159000,299
159050,327
159100,341
159150,371
159200,394
159250,404
159300,423
159350,441
159400,456
159450,463
159500,465
159550,461
159600,459
159650,445
159700,427
159750,415
159800,391
159850,377
159900,347
159950,333
160000,303
160050,289
160100,260
160150,248
160200,233
160250,218
160300,214
160350,209
160400,211
160450,215
160500,227
160550,235
160600,250
160650,265
160700,291
160750,305
160800,335
160850,363
160900,379
160950,403
161000,412
161050,429
161100,435
161150,446
161200,449
161250,453
161300,449
161350,445
161400,433
161450,417
161500,407
161550,381
161600,367
161650,337
161700,322
161750,293
161800,281
161850,251
161900,243
161950,227
162000,221
162050,211
162100,210
162150,211
162200,219
162250,225
162300,243
162350,263
162400,277
162450,301
162500,316
162550,343
162600,359
162650,387
162700,407
162750,415
162800,441
162850,447
162900,455
162950,459
163000,459
163050,457
163100,447
163150,439
163200,421
163250,398
163300,385
163350,357
163400,329
163450,315
163500,288
163550,277
163600,250
163650,245
163700,229
163750,223
163800,217
163850,217
163900,219
163950,229
164000,235
164050,251
164100,263
164150,287
164200,299
164250,327
164300,339
164350,367
164400,395
164450,403
164500,427
164550,443
164600,447
164650,453
164700,455
164750,453
164800,449
164850,435
164900,433
164950,413
165000,401
165050,375
165100,347
165150,333
165200,303
165250,291
165300,261
165350,244
165400,236
165450,222
165500,217
165550,213
165600,215
165650,219
165700,230
165750,239
165800,249
165850,267
165900,293
165950,307
166000,335
166050,348
166100,377
166150,399
166200,409
166250,426
166300,437
166350,443
166400,449
166450,449
166500,444
166550,443
166600,433
166650,415
166700,405
166750,379
166800,365
166850,337
166900,323
166950,295
167000,283
167050,251
167100,241
167150,233
167200,223
167250,217
167300,217
167350,221
167400,227
167450,240
167500,249
167550,269
167600,281
167650,305
167700,317
167750,345
167800,359
167850,383
167900,394
167950,419
168000,437
168050,443
168100,453
168150,455
168200,455
168250,453
168300,443
168350,428
168400,417
168450,395
168500,371
168550,355
168600,331
168650,315
168700,289
168750,279
168800,249
168850,246
168900,231
168950,226
169000,219
169050,219
169100,221
169150,231
169200,237
169250,252
169300,275
169350,287
169400,313
169450,325
169500,353
169550,379
169600,391
169650,411
169700,417
169750,433
169800,435
169850,443
169900,446
169950,443
170000,437
170050,427
170100,417
170150,399
170200,387
170250,361
170300,345
170350,319
170400,293
170450,280
170500,248
170550,246
170600,233
170650,227
170700,219
170750,219
170800,221
170850,223
170900,235
170950,250
171000,259
171050,283
171100,307
171150,321
171200,347
171250,361
171300,387
171350,396
171400,413
171450,427
171500,439
171550,447
171600,449
171650,449
171700,447
171750,437
171800,422
171850,413
171900,391
171950,379
172000,353
172050,325
172100,313
172150,288
172200,276
172250,250
172300,247
172350,234
172400,229
172450,224
172500,224
172550,228
172600,238
172650,245
172700,259
172750,283
172800,293
172850,319
172900,331
172950,357
173000,371
173050,394
173100,415
173150,423
173200,439
173250,443
173300,449
173350,449
173400,447
173450,443
173500,433
173550,423
173600,405
173650,394
173700,367
173750,341
173800,329
173850,303
173900,279
173950,265
174000,247
174050,241
174100,229
174150,225
174200,221
174250,223
174300,227
174350,239
174400,247
174450,265
174500,277
174550,299
174600,313
174650,338
174700,363
174750,377
174800,397
174850,415
174900,421
174950,433
175000,437
175050,441
175100,443
175150,439
175200,433
175250,423
175300,407
175350,397
175400,371
175450,358
175500,331
175550,305
175600,293
175650,271
175700,260
175750,244
175800,232
175850,227
175900,225
175950,225
176000,229
176050,235
176100,248
176150,255
176200,275
176250,287
176300,309
176350,335
176400,347
176450,373
176500,383
176550,407
176600,425
176650,431
176700,441
176750,445
176800,447
176850,447
176900,439
176950,433
177000,419
177050,409
177100,389
177150,361
177200,351
177250,325
177300,313
177350,289
177400,267
177450,256
177500,243
177550,237
177600,229
177650,227
177700,227
177750,235
177800,239
177850,253
177900,263
177950,283
178000,293
178050,319
178100,331
178150,355
178200,379
178250,389
178300,411
178350,417
178400,429
178450,437
178500,439
178550,439
178600,437
178650,431
178700,417
178750,411
178800,391
178850,379
178900,353
178950,341
179000,315
179050,303
179100,281
179150,267
179200,248
179250,243
179300,231
179350,227
179400,225
179450,229
179500,237
179550,243
179600,257
179650,269
179700,289
179750,301
179800,327
179850,337
179900,363
179950,387
180000,397
180050,415
180100,423
180150,433
180200,437
180250,441
180300,441
180350,439
180400,429
180450,413
180500,403
180550,383
180600,369
180650,345
180700,333
180750,309
180800,286
180850,276
180900,255
180950,249
181000,239
181050,235
181100,231
181150,233
181200,236
181250,245
181300,261
181350,269
181400,289
181450,300
181500,325
181550,335
181600,359
181650,371
181700,393
181750,413
181800,419
181850,433
181900,437
181950,443
182000,441
182050,439
182100,429
182150,423
182200,405
182250,385
182300,373
182350,349
182400,335
182450,311
182500,299
182550,279
182600,267
182650,248
182700,245
182750,233
182800,229
182850,229
182900,233
182950,241
183000,248
183050,264
183100,274
183150,295
183200,307
183250,331
183300,355
183350,365
183400,389
183450,397
183500,413
183550,419
183600,429
183650,435
183700,435
183750,433
183800,427
183850,421
183900,407
183950,399
184000,377
184050,365
184100,339
184150,327
184200,305
184250,291
184300,271
184350,248
184400,247
184450,237
184500,233
184550,231
184600,233
184650,237
184700,249
184750,263
184800,273
184850,293
184900,305
184950,327
185000,339
185050,361
185100,373
185150,395
185200,405
185250,421
185300,427
185350,437
185400,439
185450,439
185500,435
185550,425
185600,417
185650,401
185700,391
185750,369
185800,357
185850,333
185900,309
185950,297
186000,278
186050,269
186100,250
186150,247
186200,237
186250,235
186300,234
186350,239
186400,243
186450,254
186500,271
186550,281
186600,301
186650,313
186700,335
186750,347
186800,369
186850,381
186900,401
186950,409
187000,423
187050,431
187100,433
187150,435
187200,435
187250,429
187300,417
187350,411
187400,393
187450,383
187500,360
187550,335
187600,325
187650,299
187700,289
187750,269
187800,253
187850,246
187900,241
187950,233
188000,233
188050,233
188100,237
188150,245
188200,257
188250,277
188300,287
188350,309
188400,321
188450,343
188500,355
188550,377
188600,387
188650,405
188700,410
188750,425
188800,433
188850,433
188900,435
188950,433
189000,427
189050,419
189100,405
189150,395
189200,373
189250,352
189300,339
189350,317
189400,305
189450,285
189500,267
189550,258
189600,247
189650,241
189700,237
189750,237
189800,239
189850,243
189900,253
189950,269
190000,277
190050,295
190100,307
190150,329
190200,339
190250,363
190300,385
190350,393
190400,409
190450,423
190500,429
190550,435
190600,435
190650,433
190700,431
190750,421
190800,413
190850,397
190900,388
190950,365
191000,355
191050,331
191100,308
191150,297
191200,278
191250,260
191300,250
191350,243
191400,239
191450,235
191500,235
191550,241
191600,249
191650,254
191700,273
191750,283
191800,303
191850,313
191900,335
191950,347
192000,369
192050,389
192100,399
192150,411
192200,421
192250,425
192300,429
192350,429
192400,427
192450,423
192500,415
192550,401
192600,391
192650,369
192700,359
192750,335
192800,323
192850,301
192900,281
192950,272
193000,253
193050,245
193100,241
193150,237
193200,237
193250,241
193300,245
193350,255
193400,263
193450,281
193500,299
193550,311
193600,333
193650,343
193700,365
193750,375
193800,395
193850,411
193900,417
193950,429
194000,433
194050,433
194100,431
194150,427
194200,417
194250,409
194300,393
194350,383
194400,361
194450,351
194500,329
194550,319
194600,297
194650,287
194700,269
194750,254
194800,249
194850,242
194900,239
194950,241
195000,245
195050,250
195100,263
195150,271
195200,287
195250,307
195300,319
195350,339
195400,351
195450,372
195500,381
195550,401
195600,415
195650,421
195700,427
195750,429
195800,431
195850,427
195900,423
195950,411
196000,403
196050,385
196100,375
196150,353
196200,331
196250,320
196300,297
196350,287
196400,269
196450,261
196500,249
196550,245
196600,239
196650,239
196700,241
196750,247
196800,259
196850,267
196900,285
196950,293
197000,315
197050,325
197100,347
197150,359
197200,379
197250,389
197300,405
197350,411
197400,421
197450,425
197500,429
197550,429
197600,427
197650,419
197700,405
197750,395
197800,377
197850,367
197900,345
197950,335
198000,313
198050,291
198100,283
198150,267
198200,259
198250,249
198300,245
198350,242
198400,242
198450,246
198500,249
198550,261
198600,275
198650,285
198700,303
198750,323
198800,335
198850,355
198900,365
198950,385
199000,395
199050,409
199100,415
199150,425
199200,427
199250,429
199300,429
199350,423
199400,413
199450,407
199500,389
199550,381
199600,359
199650,337
199700,327
199750,305
199800,295
199850,277
199900,262
199950,254
200000,246
200050,243
200100,241
200150,243
200200,248
200250,251
200300,265
200350,272
200400,289
200450,308
200500,319
200550,341
200600,351
200650,371
200700,391
200750,399
200800,410
200850,415
200900,421
200950,423
201000,425
201050,419
201100,417
201150,407
201200,401
201250,383
201300,373
201350,351
201400,339
201450,319
201500,297
201550,289
201600,272
201650,255
201700,249
201750,245
201800,243
201850,243
201900,245
201950,249
202000,255
202050,271
202100,287
202150,297
202200,317
202250,327
202300,347
202350,357
202400,377
202450,395
202500,403
202550,415
202600,423
202650,427
202700,427
202750,425
202800,419
202850,415
202900,401
202950,393
203000,375
203050,355
203100,345
203150,325
203200,313
203250,293
203300,277
203350,269
203400,255
203450,251
203500,247
203550,245
203600,247
203650,253
203700,257
203750,271
203800,278
203850,295
203900,305
203950,325
204000,335
204050,355
204100,375
204150,383
204200,399
204250,407
204300,417
204350,425
204400,425
204450,425
204500,423
204550,415
204600,403
204650,395
204700,375
204750,367
204800,347
204850,337
204900,315
204950,305
205000,287
205050,279
205100,262
205150,251
205200,246
205250,245
205300,245
205350,247
205400,254
205450,261
205500,275
205550,283
205600,301
205650,311
205700,331
205750,351
205800,361
205850,381
205900,389
205950,405
206000,409
206050,417
206100,423
206150,423
206200,421
206250,415
206300,409
206350,397
206400,389
206450,371
206500,359
206550,339
